DFS_Iterative, 422, 2500, 485.284, 154.759, 213.894
DFS_Recursive, 422, 2500, 486.718, 153.589, 213.894
Dijkstra, 26, 720, 693.147, 478.747, 5.983
A*, 22, 66, 10.999, 7.978, 7.524
BFS_Iterative, 54, 2031, 35.931, 34.903, 27.801
BFS_Recursive, 54, 2031, 33.939, 34.905, 27.801
DFS_Iterative, 896, 2500, 373.03, 330.11, 449.841
DFS_Recursive, 896, 2500, 372.586, 327.781, 449.841
Dijkstra, 60, 3064, 11576.9, 7569.91, 13.57
A*, 54, 144, 290.01, 248.892, 20.979
BFS_Iterative, 14, 384, 6.04, 5.013, 7.05
BFS_Recursive, 14, 384, 6.012, 3.99, 7.05
DFS_Iterative, 152, 1553, 413.867, 46.874, 75.753
DFS_Recursive, 152, 1553, 413.077, 46.875, 75.753
Dijkstra, 16, 579, 1124.87, 808.572, 4.219
A*, 14, 37, 40.917, 35.903, 4.893
BFS_Iterative, 72, 2453, 29.92, 17.983, 34.309
BFS_Recursive, 72, 2453, 28.946, 16.93, 34.309
DFS_Iterative, 672, 2055, 215.42, 249.338, 348.196
DFS_Recursive, 672, 2055, 215.447, 248.58, 348.196
Dijkstra, 78, 3892, 11538.1, 7456.35, 17.707
A*, 72, 182, 251.217, 211.894, 23.126
BFS_Iterative, 22, 938, 14.033, 8.953, 9.31
BFS_Recursive, 22, 938, 12.045, 8.976, 9.31
DFS_Iterative, 466, 1709, 247.339, 163.59, 247.868
DFS_Recursive, 466, 1709, 246.214, 163.987, 247.868
Dijkstra, 26, 1957, 6846.83, 4585.21, 8.07
A*, 22, 72, 95.903, 85.019, 9.31
BFS_Iterative, 16, 458, 10.967, 8.976, 6.337
BFS_Recursive, 16, 458, 10.996, 8.95, 6.337
DFS_Iterative, 388, 2500, 238.894, 139.049, 192.616
DFS_Recursive, 388, 2500, 239.085, 139.134, 192.616
Dijkstra, 20, 594, 2619.38, 1855.47, 3.901
A*, 16, 45, 80.052, 73.833, 4.841
BFS_Iterative, 43, 1803, 14.959, 12.966, 21.474
