BFS_Iterative, 6, 16, 0, 0, 7
BFS_Recursive, 6, 16, 0, 0, 7
DFS_Iterative, 6, 9, 0, 0, 7
DFS_Recursive, 6, 9, 0.996, 0, 7
Dijkstra, 6, 14, 0, 0.997, 7
A*, 6, 13, 0, 0, 7
BFS_Iterative, 3, 14, 0, 0, 3
BFS_Recursive, 3, 14, 0, 0, 3
DFS_Iterative, 3, 15, 0, 0, 3
DFS_Recursive, 3, 15, 0, 0, 3
Dijkstra, 3, 10, 0, 0, 3
A*, 3, 8, 0.997, 0, 3
BFS_Iterative, 5, 15, 0, 0, 6
BFS_Recursive, 5, 15, 0, 0, 6
DFS_Iterative, 7, 15, 0, 0, 8
DFS_Recursive, 7, 15, 0, 0, 8
Dijkstra, 5, 12, 0.997, 0, 6
A*, 5, 12, 0.997, 0, 6
BFS_Iterative, 2, 5, 0, 0, 1
BFS_Recursive, 2, 5, 0, 0, 1
DFS_Iterative, 2, 3, 0, 0, 1
DFS_Recursive, 2, 3, 0, 0, 1
Dijkstra, 2, 3, 0, 0, 1
A*, 2, 3, 0, 0, 1
BFS_Iterative, 2, 5, 0, 0, 1
BFS_Recursive, 2, 5, 0, 0, 1
DFS_Iterative, 2, 16, 0, 0, 1
DFS_Recursive, 2, 16, 0, 0, 1
Dijkstra, 2, 3, 0, 0, 1
A*, 2, 3, 0, 0, 1
BFS_Iterative, 4, 15, 0, 0, 5
BFS_Recursive, 4, 15, 0, 0, 5
DFS_Iterative, 4, 6, 0, 0, 5
DFS_Recursive, 4, 6, 0, 0, 5
Dijkstra, 4, 11, 0.998, 0, 5
A*, 4, 9, 0, 0, 5
BFS_Iterative, 2, 8, 0, 0, 1
BFS_Recursive, 2, 8, 0, 0, 1
DFS_Iterative, 2, 4, 0, 0, 1
DFS_Recursive, 2, 4, 0, 0, 1
Dijkstra, 2, 4, 0, 0, 1
A*, 2, 4, 0, 0, 1
BFS_Iterative, 3, 10, 0, 0, 3
BFS_Recursive, 3, 10, 0, 0, 3
DFS_Iterative, 3, 5, 0, 0, 3
DFS_Recursive, 3, 5, 0, 0, 3
Dijkstra, 3, 7, 0, 0, 3
A*, 3, 7, 0, 0.998, 3
BFS_Iterative, 3, 8, 0, 0, 4
BFS_Recursive, 3, 8, 0, 0, 4
DFS_Iterative, 11, 16, 0, 0, 14
DFS_Recursive, 11, 16, 0.998, 0, 14
Dijkstra, 3, 9, 0, 0.997, 4
A*, 3, 8, 0, 0, 4
BFS_Iterative, 3, 15, 0, 0, 3
BFS_Recursive, 3, 15, 0, 0, 3
DFS_Iterative, 3, 7, 0, 0, 3
DFS_Recursive, 3, 7, 0, 0, 3
Dijkstra, 3, 10, 0, 0, 3
A*, 3, 7, 0, 0, 3
BFS_Iterative, 4, 13, 0, 0, 6
BFS_Recursive, 4, 13, 0, 0, 6
DFS_Iterative, 4, 7, 0, 0, 6
DFS_Recursive, 4, 7, 0.968, 0, 6
Dijkstra, 4, 12, 0, 0, 6
A*, 4, 10, 0, 0, 6
